episode:84; total step:220; total_reword:93.392 loss:0.00989; actual_eps:0.95; ave_Q:33.555458068847656
episode:85; total step:220; total_reword:86.154 loss:0.00953; actual_eps:0.95; ave_Q:34.86015319824219
episode:86; total step:220; total_reword:94.381 loss:0.00955; actual_eps:0.95; ave_Q:33.6836051940918
episode:87; total step:220; total_reword:95.644 loss:0.00916; actual_eps:0.95; ave_Q:34.622005462646484
episode:88; total step:220; total_reword:72.524 loss:0.00956; actual_eps:0.95; ave_Q:24.448728561401367
episode:89; total step:220; total_reword:115.716 loss:0.00918; actual_eps:0.95; ave_Q:41.818843841552734
episode:90; total step:220; total_reword:109.220 loss:0.00889; actual_eps:0.95; ave_Q:43.6754035949707
episode:91; total step:220; total_reword:57.433 loss:0.00895; actual_eps:0.95; ave_Q:15.966537475585938
episode:92; total step:220; total_reword:129.340 loss:0.00968; actual_eps:0.95; ave_Q:35.886024475097656
episode:93; total step:220; total_reword:37.054 loss:0.00892; actual_eps:0.95; ave_Q:24.070911407470703
episode:94; total step:220; total_reword:131.872 loss:0.00893; actual_eps:0.95; ave_Q:44.45211410522461
episode:95; total step:220; total_reword:95.253 loss:0.00876; actual_eps:0.95; ave_Q:31.763565063476562
episode:96; total step:220; total_reword:99.041 loss:0.00927; actual_eps:0.95; ave_Q:37.014442443847656
episode:97; total step:220; total_reword:84.886 loss:0.00939; actual_eps:0.95; ave_Q:37.09522247314453
episode:98; total step:220; total_reword:96.690 loss:0.00938; actual_eps:0.95; ave_Q:36.74266815185547
episode:99; total step:220; total_reword:124.057 loss:0.00932; actual_eps:0.95; ave_Q:39.708988189697266
episode:100; total step:220; total_reword:124.144 loss:0.00922; actual_eps:0.95; ave_Q:39.6039924621582
episode:101; total step:220; total_reword:124.950 loss:0.00970; actual_eps:0.95; ave_Q:45.90958023071289
episode:102; total step:220; total_reword:80.251 loss:0.01000; actual_eps:0.95; ave_Q:50.644832611083984
episode:103; total step:220; total_reword:121.070 loss:0.00953; actual_eps:0.95; ave_Q:42.79741668701172
episode:104; total step:220; total_reword:43.910 loss:0.00909; actual_eps:0.95; ave_Q:21.143766403198242
episode:105; total step:220; total_reword:102.230 loss:0.00965; actual_eps:0.94; ave_Q:43.21232223510742
episode:106; total step:220; total_reword:44.755 loss:0.00876; actual_eps:0.94; ave_Q:21.93058204650879
episode:107; total step:220; total_reword:121.931 loss:0.00906; actual_eps:0.94; ave_Q:39.015193939208984
episode:108; total step:220; total_reword:102.227 loss:0.00940; actual_eps:0.94; ave_Q:28.288734436035156
episode:109; total step:220; total_reword:122.994 loss:0.00997; actual_eps:0.94; ave_Q:44.053466796875
episode:110; total step:220; total_reword:118.235 loss:0.00929; actual_eps:0.94; ave_Q:37.700904846191406
episode:111; total step:220; total_reword:67.407 loss:0.00970; actual_eps:0.94; ave_Q:22.462560653686523
episode:112; total step:220; total_reword:116.869 loss:0.00901; actual_eps:0.94; ave_Q:38.41216278076172
episode:113; total step:220; total_reword:60.911 loss:0.00909; actual_eps:0.94; ave_Q:27.6041316986084
episode:114; total step:220; total_reword:81.147 loss:0.00921; actual_eps:0.94; ave_Q:29.9077091217041
episode:115; total step:220; total_reword:99.448 loss:0.00864; actual_eps:0.94; ave_Q:37.156639099121094
episode:116; total step:220; total_reword:111.165 loss:0.00981; actual_eps:0.94; ave_Q:42.662681579589844
episode:117; total step:220; total_reword:81.735 loss:0.00962; actual_eps:0.94; ave_Q:29.048919677734375
episode:118; total step:220; total_reword:92.042 loss:0.00901; actual_eps:0.94; ave_Q:32.59205627441406
episode:119; total step:220; total_reword:114.000 loss:0.00928; actual_eps:0.94; ave_Q:40.172367095947266
episode:120; total step:220; total_reword:20.540 loss:0.00904; actual_eps:0.94; ave_Q:13.073221206665039
episode:121; total step:220; total_reword:102.499 loss:0.00979; actual_eps:0.94; ave_Q:41.5401496887207
episode:122; total step:220; total_reword:89.322 loss:0.00978; actual_eps:0.94; ave_Q:29.544706344604492
episode:123; total step:220; total_reword:111.126 loss:0.00948; actual_eps:0.94; ave_Q:43.79985427856445
episode:124; total step:220; total_reword:79.961 loss:0.00997; actual_eps:0.94; ave_Q:31.5393009185791
episode:125; total step:220; total_reword:100.205 loss:0.00923; actual_eps:0.94; ave_Q:32.580848693847656
episode:126; total step:220; total_reword:129.703 loss:0.00898; actual_eps:0.94; ave_Q:43.295860290527344
episode:127; total step:220; total_reword:61.152 loss:0.00996; actual_eps:0.94; ave_Q:31.976865768432617
episode:128; total step:220; total_reword:88.127 loss:0.00908; actual_eps:0.93; ave_Q:35.84313201904297
episode:129; total step:220; total_reword:119.481 loss:0.00845; actual_eps:0.93; ave_Q:37.26900863647461
episode:130; total step:220; total_reword:112.344 loss:0.00909; actual_eps:0.93; ave_Q:37.47224044799805
episode:131; total step:220; total_reword:116.561 loss:0.00914; actual_eps:0.93; ave_Q:39.45915603637695
episode:132; total step:220; total_reword:43.990 loss:0.00843; actual_eps:0.93; ave_Q:24.441619873046875
episode:133; total step:220; total_reword:111.446 loss:0.00943; actual_eps:0.93; ave_Q:39.3421745300293
episode:134; total step:220; total_reword:54.909 loss:0.01006; actual_eps:0.93; ave_Q:15.869295120239258
episode:135; total step:220; total_reword:100.990 loss:0.00855; actual_eps:0.93; ave_Q:35.67288589477539
