episode:103; total step:290; total_reword:88.610 loss:0.04894; actual_eps:0.93; ave_Q:23.588890075683594
episode:104; total step:290; total_reword:94.854 loss:0.05237; actual_eps:0.93; ave_Q:27.98682403564453
episode:105; total step:290; total_reword:96.452 loss:0.05135; actual_eps:0.93; ave_Q:24.212190628051758
episode:106; total step:290; total_reword:96.658 loss:0.05393; actual_eps:0.93; ave_Q:26.698902130126953
episode:107; total step:290; total_reword:24.313 loss:0.05544; actual_eps:0.93; ave_Q:11.91507625579834
episode:108; total step:290; total_reword:74.621 loss:0.05232; actual_eps:0.93; ave_Q:25.718002319335938
episode:109; total step:290; total_reword:130.806 loss:0.04899; actual_eps:0.93; ave_Q:31.966894149780273
episode:110; total step:290; total_reword:60.125 loss:0.05589; actual_eps:0.93; ave_Q:20.518293380737305
episode:111; total step:290; total_reword:69.395 loss:0.05396; actual_eps:0.93; ave_Q:22.732484817504883
episode:112; total step:290; total_reword:-15.234 loss:0.04670; actual_eps:0.93; ave_Q:9.458168983459473
episode:113; total step:290; total_reword:104.221 loss:0.05154; actual_eps:0.93; ave_Q:21.164949417114258
episode:114; total step:290; total_reword:73.270 loss:0.04879; actual_eps:0.93; ave_Q:22.848905563354492
episode:115; total step:290; total_reword:99.595 loss:0.05130; actual_eps:0.92; ave_Q:37.426944732666016
episode:116; total step:290; total_reword:66.446 loss:0.05052; actual_eps:0.92; ave_Q:28.245973587036133
episode:117; total step:290; total_reword:133.466 loss:0.04964; actual_eps:0.92; ave_Q:28.641223907470703
episode:118; total step:290; total_reword:106.513 loss:0.05128; actual_eps:0.92; ave_Q:31.520601272583008
episode:119; total step:290; total_reword:97.872 loss:0.04828; actual_eps:0.92; ave_Q:25.58078956604004
episode:120; total step:290; total_reword:-121.479 loss:0.05175; actual_eps:0.92; ave_Q:-15.047523498535156
episode:121; total step:290; total_reword:132.156 loss:0.04915; actual_eps:0.92; ave_Q:27.33247184753418
episode:122; total step:290; total_reword:2.328 loss:0.05168; actual_eps:0.92; ave_Q:13.667137145996094
episode:123; total step:290; total_reword:42.770 loss:0.04846; actual_eps:0.92; ave_Q:15.421457290649414
episode:124; total step:290; total_reword:21.289 loss:0.04798; actual_eps:0.92; ave_Q:10.943873405456543
episode:125; total step:290; total_reword:145.260 loss:0.04935; actual_eps:0.92; ave_Q:32.65318298339844
episode:126; total step:290; total_reword:-43.437 loss:0.04732; actual_eps:0.92; ave_Q:4.317237377166748
episode:127; total step:290; total_reword:24.691 loss:0.05063; actual_eps:0.92; ave_Q:17.65245246887207
episode:128; total step:290; total_reword:107.443 loss:0.04850; actual_eps:0.92; ave_Q:25.73981285095215
episode:129; total step:290; total_reword:63.935 loss:0.04777; actual_eps:0.92; ave_Q:23.79891586303711
episode:130; total step:290; total_reword:-33.526 loss:0.05014; actual_eps:0.92; ave_Q:3.0780351161956787
episode:131; total step:290; total_reword:64.310 loss:0.04741; actual_eps:0.92; ave_Q:26.814687728881836
episode:132; total step:290; total_reword:-2.979 loss:0.05152; actual_eps:0.91; ave_Q:19.905332565307617
episode:133; total step:290; total_reword:-53.117 loss:0.05033; actual_eps:0.91; ave_Q:9.574706077575684
episode:134; total step:290; total_reword:48.167 loss:0.05011; actual_eps:0.91; ave_Q:14.510379791259766
episode:135; total step:290; total_reword:11.715 loss:0.04941; actual_eps:0.91; ave_Q:4.432951927185059
episode:136; total step:290; total_reword:94.162 loss:0.05024; actual_eps:0.91; ave_Q:26.435232162475586
episode:137; total step:290; total_reword:35.749 loss:0.05182; actual_eps:0.91; ave_Q:18.595685958862305
episode:138; total step:290; total_reword:120.688 loss:0.05054; actual_eps:0.91; ave_Q:32.5269660949707
episode:139; total step:290; total_reword:-5.974 loss:0.04750; actual_eps:0.91; ave_Q:16.201309204101562
episode:140; total step:290; total_reword:144.497 loss:0.04995; actual_eps:0.91; ave_Q:31.14528465270996
episode:141; total step:290; total_reword:90.337 loss:0.05323; actual_eps:0.91; ave_Q:26.153587341308594
episode:142; total step:290; total_reword:59.088 loss:0.05146; actual_eps:0.91; ave_Q:26.070261001586914
episode:143; total step:290; total_reword:69.894 loss:0.04822; actual_eps:0.91; ave_Q:24.108793258666992
episode:144; total step:290; total_reword:112.541 loss:0.04894; actual_eps:0.91; ave_Q:26.130266189575195
episode:145; total step:290; total_reword:64.793 loss:0.05039; actual_eps:0.91; ave_Q:27.01301383972168
episode:146; total step:290; total_reword:-12.107 loss:0.04939; actual_eps:0.91; ave_Q:28.73016929626465
episode:147; total step:290; total_reword:122.561 loss:0.05019; actual_eps:0.91; ave_Q:30.547508239746094
episode:148; total step:290; total_reword:145.091 loss:0.04775; actual_eps:0.91; ave_Q:27.90637969970703
episode:149; total step:290; total_reword:95.788 loss:0.05139; actual_eps:0.91; ave_Q:25.623416900634766
episode:150; total step:290; total_reword:9.132 loss:0.04935; actual_eps:0.90; ave_Q:6.060344219207764
episode:151; total step:290; total_reword:111.892 loss:0.04975; actual_eps:0.90; ave_Q:26.739233016967773
episode:152; total step:290; total_reword:89.414 loss:0.04677; actual_eps:0.90; ave_Q:22.957767486572266
episode:153; total step:290; total_reword:116.999 loss:0.04513; actual_eps:0.90; ave_Q:28.99516487121582
episode:154; total step:290; total_reword:44.079 loss:0.04631; actual_eps:0.90; ave_Q:20.466466903686523
episode:155; total step:290; total_reword:45.847 loss:0.04798; actual_eps:0.90; ave_Q:31.717565536499023
episode:156; total step:290; total_reword:114.836 loss:0.04923; actual_eps:0.90; ave_Q:30.70922088623047
episode:157; total step:290; total_reword:84.224 loss:0.04884; actual_eps:0.90; ave_Q:32.78428268432617
episode:158; total step:290; total_reword:117.484 loss:0.05135; actual_eps:0.90; ave_Q:27.355106353759766
episode:159; total step:290; total_reword:120.658 loss:0.05191; actual_eps:0.90; ave_Q:28.685415267944336
episode:160; total step:290; total_reword:13.109 loss:0.04561; actual_eps:0.90; ave_Q:10.785043716430664
episode:161; total step:290; total_reword:34.961 loss:0.04880; actual_eps:0.90; ave_Q:17.790584564208984
episode:162; total step:290; total_reword:75.855 loss:0.04882; actual_eps:0.90; ave_Q:26.203031539916992
episode:163; total step:290; total_reword:129.228 loss:0.04807; actual_eps:0.90; ave_Q:31.493846893310547
episode:164; total step:290; total_reword:116.380 loss:0.04939; actual_eps:0.90; ave_Q:32.468536376953125
episode:165; total step:290; total_reword:118.116 loss:0.04771; actual_eps:0.90; ave_Q:35.75323486328125
episode:166; total step:290; total_reword:127.050 loss:0.05213; actual_eps:0.90; ave_Q:27.508569717407227
episode:167; total step:290; total_reword:89.907 loss:0.04727; actual_eps:0.90; ave_Q:30.552310943603516
episode:168; total step:290; total_reword:120.855 loss:0.04672; actual_eps:0.89; ave_Q:27.856775283813477
episode:169; total step:290; total_reword:128.644 loss:0.04808; actual_eps:0.89; ave_Q:29.449527740478516
episode:170; total step:290; total_reword:92.695 loss:0.04781; actual_eps:0.89; ave_Q:31.182714462280273
episode:171; total step:290; total_reword:-20.016 loss:0.04622; actual_eps:0.89; ave_Q:18.0961971282959
episode:172; total step:290; total_reword:-48.809 loss:0.04538; actual_eps:0.89; ave_Q:14.633792877197266
episode:173; total step:290; total_reword:48.561 loss:0.04848; actual_eps:0.89; ave_Q:14.106060981750488
episode:174; total step:290; total_reword:23.130 loss:0.04674; actual_eps:0.89; ave_Q:19.28368377685547
episode:175; total step:290; total_reword:137.668 loss:0.05037; actual_eps:0.89; ave_Q:29.27587127685547
episode:176; total step:290; total_reword:154.932 loss:0.05184; actual_eps:0.89; ave_Q:33.39881134033203
episode:177; total step:290; total_reword:21.994 loss:0.04803; actual_eps:0.89; ave_Q:19.24074363708496
episode:178; total step:290; total_reword:104.122 loss:0.04658; actual_eps:0.89; ave_Q:23.048791885375977
episode:179; total step:290; total_reword:135.614 loss:0.04686; actual_eps:0.89; ave_Q:26.07801628112793
episode:180; total step:290; total_reword:40.199 loss:0.04877; actual_eps:0.89; ave_Q:17.9118709564209
episode:181; total step:290; total_reword:139.871 loss:0.04617; actual_eps:0.89; ave_Q:29.426067352294922
episode:182; total step:290; total_reword:116.422 loss:0.04503; actual_eps:0.89; ave_Q:34.50724792480469
episode:183; total step:290; total_reword:9.635 loss:0.04442; actual_eps:0.89; ave_Q:13.20301628112793
episode:184; total step:290; total_reword:-2.516 loss:0.04855; actual_eps:0.89; ave_Q:11.597908020019531
episode:185; total step:290; total_reword:83.387 loss:0.04751; actual_eps:0.88; ave_Q:28.376169204711914
episode:186; total step:290; total_reword:92.671 loss:0.04374; actual_eps:0.88; ave_Q:28.807445526123047
episode:187; total step:290; total_reword:79.327 loss:0.04522; actual_eps:0.88; ave_Q:19.6324462890625
episode:188; total step:290; total_reword:122.658 loss:0.04699; actual_eps:0.88; ave_Q:26.225008010864258
episode:189; total step:290; total_reword:-6.189 loss:0.04944; actual_eps:0.88; ave_Q:6.8778462409973145
episode:190; total step:290; total_reword:92.245 loss:0.04727; actual_eps:0.88; ave_Q:24.791893005371094
episode:191; total step:290; total_reword:12.469 loss:0.04775; actual_eps:0.88; ave_Q:19.179426193237305
episode:192; total step:290; total_reword:75.184 loss:0.04380; actual_eps:0.88; ave_Q:21.26612663269043
episode:193; total step:290; total_reword:110.750 loss:0.04963; actual_eps:0.88; ave_Q:28.330387115478516
episode:194; total step:290; total_reword:52.955 loss:0.04517; actual_eps:0.88; ave_Q:26.714405059814453
episode:195; total step:290; total_reword:69.927 loss:0.04866; actual_eps:0.88; ave_Q:24.731884002685547
episode:196; total step:290; total_reword:88.333 loss:0.04610; actual_eps:0.88; ave_Q:26.8143367767334
episode:197; total step:290; total_reword:70.253 loss:0.04722; actual_eps:0.88; ave_Q:25.943761825561523
episode:198; total step:290; total_reword:124.997 loss:0.04768; actual_eps:0.88; ave_Q:30.651002883911133
episode:199; total step:290; total_reword:19.391 loss:0.05041; actual_eps:0.88; ave_Q:17.288190841674805
episode:200; total step:290; total_reword:93.247 loss:0.04656; actual_eps:0.88; ave_Q:28.27823257446289
episode:201; total step:290; total_reword:98.063 loss:0.04405; actual_eps:0.88; ave_Q:28.085803985595703
episode:202; total step:290; total_reword:73.560 loss:0.04604; actual_eps:0.88; ave_Q:22.311513900756836
episode:203; total step:290; total_reword:58.303 loss:0.04567; actual_eps:0.87; ave_Q:16.974536895751953
episode:204; total step:290; total_reword:122.573 loss:0.04390; actual_eps:0.87; ave_Q:31.82798957824707
episode:205; total step:290; total_reword:125.330 loss:0.04222; actual_eps:0.87; ave_Q:26.33721923828125
episode:206; total step:290; total_reword:96.027 loss:0.04281; actual_eps:0.87; ave_Q:29.39154815673828
episode:207; total step:290; total_reword:78.536 loss:0.04580; actual_eps:0.87; ave_Q:26.66423988342285
episode:208; total step:290; total_reword:124.195 loss:0.04291; actual_eps:0.87; ave_Q:32.6674690246582
episode:209; total step:290; total_reword:51.573 loss:0.04711; actual_eps:0.87; ave_Q:25.40537452697754
episode:210; total step:290; total_reword:124.794 loss:0.04412; actual_eps:0.87; ave_Q:30.996753692626953
episode:211; total step:290; total_reword:96.729 loss:0.04350; actual_eps:0.87; ave_Q:22.89571762084961
episode:212; total step:290; total_reword:114.418 loss:0.04708; actual_eps:0.87; ave_Q:29.55331039428711
episode:213; total step:290; total_reword:121.543 loss:0.04156; actual_eps:0.87; ave_Q:26.99630355834961
episode:214; total step:290; total_reword:144.912 loss:0.04374; actual_eps:0.87; ave_Q:30.39447021484375
episode:215; total step:290; total_reword:13.027 loss:0.04450; actual_eps:0.87; ave_Q:16.516164779663086
episode:216; total step:290; total_reword:102.172 loss:0.04471; actual_eps:0.87; ave_Q:27.667024612426758
episode:217; total step:290; total_reword:47.505 loss:0.04367; actual_eps:0.87; ave_Q:20.187091827392578
episode:218; total step:290; total_reword:132.676 loss:0.04755; actual_eps:0.87; ave_Q:33.7026481628418
episode:219; total step:290; total_reword:43.205 loss:0.04716; actual_eps:0.87; ave_Q:22.307241439819336
episode:220; total step:290; total_reword:52.796 loss:0.04272; actual_eps:0.86; ave_Q:16.866849899291992
episode:221; total step:290; total_reword:97.915 loss:0.04313; actual_eps:0.86; ave_Q:21.9447078704834
episode:222; total step:290; total_reword:102.807 loss:0.04432; actual_eps:0.86; ave_Q:31.50563621520996
episode:223; total step:290; total_reword:-7.972 loss:0.04576; actual_eps:0.86; ave_Q:16.069271087646484
episode:224; total step:290; total_reword:38.412 loss:0.04452; actual_eps:0.86; ave_Q:24.36896514892578
episode:225; total step:290; total_reword:121.394 loss:0.04350; actual_eps:0.86; ave_Q:29.944622039794922
episode:226; total step:290; total_reword:62.117 loss:0.04768; actual_eps:0.86; ave_Q:23.12849998474121
episode:227; total step:290; total_reword:90.193 loss:0.04361; actual_eps:0.86; ave_Q:31.215106964111328
episode:228; total step:290; total_reword:113.491 loss:0.04165; actual_eps:0.86; ave_Q:27.01663589477539
episode:229; total step:290; total_reword:163.925 loss:0.04491; actual_eps:0.86; ave_Q:35.18984603881836
episode:230; total step:290; total_reword:136.848 loss:0.04233; actual_eps:0.86; ave_Q:33.291385650634766
episode:231; total step:290; total_reword:152.667 loss:0.04139; actual_eps:0.86; ave_Q:30.453033447265625
episode:232; total step:290; total_reword:-8.442 loss:0.04422; actual_eps:0.86; ave_Q:12.938586235046387
episode:233; total step:290; total_reword:115.173 loss:0.04424; actual_eps:0.86; ave_Q:33.10407638549805
episode:234; total step:290; total_reword:10.313 loss:0.04352; actual_eps:0.86; ave_Q:11.503371238708496
episode:235; total step:290; total_reword:114.213 loss:0.04168; actual_eps:0.86; ave_Q:35.05196762084961
episode:236; total step:290; total_reword:72.373 loss:0.04371; actual_eps:0.86; ave_Q:31.381603240966797
episode:237; total step:290; total_reword:149.385 loss:0.04297; actual_eps:0.86; ave_Q:33.97035598754883
episode:238; total step:290; total_reword:107.656 loss:0.04053; actual_eps:0.85; ave_Q:31.015857696533203
episode:239; total step:290; total_reword:97.782 loss:0.04324; actual_eps:0.85; ave_Q:28.817312240600586
episode:240; total step:290; total_reword:107.714 loss:0.04402; actual_eps:0.85; ave_Q:31.395830154418945
episode:241; total step:290; total_reword:71.330 loss:0.04318; actual_eps:0.85; ave_Q:19.066036224365234
episode:242; total step:290; total_reword:105.661 loss:0.04161; actual_eps:0.85; ave_Q:32.39034652709961
episode:243; total step:290; total_reword:-0.363 loss:0.04100; actual_eps:0.85; ave_Q:17.6647891998291
episode:244; total step:290; total_reword:127.100 loss:0.04395; actual_eps:0.85; ave_Q:30.979764938354492
episode:245; total step:290; total_reword:111.134 loss:0.04324; actual_eps:0.85; ave_Q:26.21196937561035
episode:246; total step:290; total_reword:97.638 loss:0.04178; actual_eps:0.85; ave_Q:32.469932556152344
episode:247; total step:290; total_reword:89.343 loss:0.04200; actual_eps:0.85; ave_Q:28.88831901550293
episode:248; total step:290; total_reword:132.182 loss:0.04134; actual_eps:0.85; ave_Q:37.952030181884766
episode:249; total step:290; total_reword:117.425 loss:0.04263; actual_eps:0.85; ave_Q:33.341705322265625
episode:250; total step:290; total_reword:115.056 loss:0.04366; actual_eps:0.85; ave_Q:31.028125762939453
episode:251; total step:290; total_reword:138.161 loss:0.04055; actual_eps:0.85; ave_Q:34.298038482666016
episode:252; total step:290; total_reword:114.854 loss:0.04190; actual_eps:0.85; ave_Q:33.75661087036133
episode:253; total step:290; total_reword:157.031 loss:0.04473; actual_eps:0.85; ave_Q:37.33716583251953
episode:254; total step:290; total_reword:132.049 loss:0.04197; actual_eps:0.85; ave_Q:34.4595947265625
episode:255; total step:290; total_reword:-6.525 loss:0.04064; actual_eps:0.85; ave_Q:5.741629600524902
episode:256; total step:290; total_reword:90.407 loss:0.03938; actual_eps:0.84; ave_Q:29.066049575805664
episode:257; total step:290; total_reword:151.133 loss:0.04008; actual_eps:0.84; ave_Q:32.283592224121094
episode:258; total step:290; total_reword:55.106 loss:0.03989; actual_eps:0.84; ave_Q:24.12468147277832
episode:259; total step:290; total_reword:120.466 loss:0.03926; actual_eps:0.84; ave_Q:32.550025939941406
episode:260; total step:290; total_reword:94.740 loss:0.03942; actual_eps:0.84; ave_Q:25.03473663330078
episode:261; total step:290; total_reword:144.296 loss:0.03891; actual_eps:0.84; ave_Q:34.14179229736328
episode:262; total step:290; total_reword:19.913 loss:0.03946; actual_eps:0.84; ave_Q:15.948532104492188
episode:263; total step:290; total_reword:139.099 loss:0.03977; actual_eps:0.84; ave_Q:33.705204010009766
episode:264; total step:290; total_reword:70.161 loss:0.04040; actual_eps:0.84; ave_Q:23.539871215820312
episode:265; total step:290; total_reword:159.615 loss:0.04005; actual_eps:0.84; ave_Q:35.79167938232422
episode:266; total step:290; total_reword:117.242 loss:0.04123; actual_eps:0.84; ave_Q:31.04379653930664
episode:267; total step:290; total_reword:101.052 loss:0.04117; actual_eps:0.84; ave_Q:31.729360580444336
episode:268; total step:290; total_reword:159.029 loss:0.03988; actual_eps:0.84; ave_Q:36.50728225708008
episode:269; total step:290; total_reword:122.050 loss:0.03516; actual_eps:0.84; ave_Q:34.01243209838867
episode:270; total step:290; total_reword:146.452 loss:0.03743; actual_eps:0.84; ave_Q:36.02418899536133
episode:271; total step:290; total_reword:51.778 loss:0.03732; actual_eps:0.84; ave_Q:19.084217071533203
episode:272; total step:290; total_reword:81.894 loss:0.03680; actual_eps:0.84; ave_Q:29.39981460571289
episode:273; total step:290; total_reword:147.115 loss:0.03786; actual_eps:0.83; ave_Q:35.641902923583984
