episode:119; total step:220; total_reword:88.279 loss:0.01946; actual_eps:0.94; ave_Q:23.679546356201172
episode:120; total step:220; total_reword:-83.728 loss:0.01970; actual_eps:0.94; ave_Q:6.740667819976807
episode:121; total step:220; total_reword:68.057 loss:0.02008; actual_eps:0.94; ave_Q:23.672698974609375
episode:122; total step:220; total_reword:80.958 loss:0.02045; actual_eps:0.94; ave_Q:26.457168579101562
episode:123; total step:220; total_reword:71.929 loss:0.01934; actual_eps:0.94; ave_Q:24.696107864379883
episode:124; total step:220; total_reword:14.097 loss:0.01947; actual_eps:0.94; ave_Q:16.060108184814453
episode:125; total step:220; total_reword:32.103 loss:0.01955; actual_eps:0.94; ave_Q:15.286368370056152
episode:126; total step:220; total_reword:80.366 loss:0.01924; actual_eps:0.94; ave_Q:24.084190368652344
episode:127; total step:220; total_reword:95.240 loss:0.01920; actual_eps:0.94; ave_Q:21.59766960144043
episode:128; total step:220; total_reword:9.765 loss:0.02005; actual_eps:0.93; ave_Q:9.11895751953125
episode:129; total step:220; total_reword:91.721 loss:0.01952; actual_eps:0.93; ave_Q:21.738845825195312
episode:130; total step:220; total_reword:74.796 loss:0.01989; actual_eps:0.93; ave_Q:22.83536720275879
episode:131; total step:220; total_reword:78.287 loss:0.01930; actual_eps:0.93; ave_Q:22.697330474853516
episode:132; total step:220; total_reword:5.886 loss:0.01907; actual_eps:0.93; ave_Q:22.167150497436523
episode:133; total step:220; total_reword:26.702 loss:0.01917; actual_eps:0.93; ave_Q:15.210739135742188
episode:134; total step:220; total_reword:5.992 loss:0.01892; actual_eps:0.93; ave_Q:8.035298347473145
episode:135; total step:220; total_reword:8.463 loss:0.01902; actual_eps:0.93; ave_Q:11.916049003601074
episode:136; total step:220; total_reword:74.252 loss:0.01850; actual_eps:0.93; ave_Q:23.806167602539062
episode:137; total step:220; total_reword:72.360 loss:0.01992; actual_eps:0.93; ave_Q:23.414915084838867
episode:138; total step:220; total_reword:73.700 loss:0.01802; actual_eps:0.93; ave_Q:26.380962371826172
episode:139; total step:220; total_reword:47.029 loss:0.01814; actual_eps:0.93; ave_Q:17.754817962646484
episode:140; total step:220; total_reword:-59.610 loss:0.01853; actual_eps:0.93; ave_Q:3.600310802459717
episode:141; total step:220; total_reword:74.263 loss:0.01826; actual_eps:0.93; ave_Q:26.688907623291016
episode:142; total step:220; total_reword:51.116 loss:0.01883; actual_eps:0.93; ave_Q:26.991191864013672
episode:143; total step:220; total_reword:-15.395 loss:0.01730; actual_eps:0.93; ave_Q:16.97565269470215
episode:144; total step:220; total_reword:57.036 loss:0.01955; actual_eps:0.93; ave_Q:26.562395095825195
episode:145; total step:220; total_reword:101.557 loss:0.01813; actual_eps:0.93; ave_Q:27.449655532836914
episode:146; total step:220; total_reword:31.493 loss:0.01882; actual_eps:0.93; ave_Q:20.122241973876953
episode:147; total step:220; total_reword:-44.712 loss:0.01823; actual_eps:0.93; ave_Q:7.584046363830566
episode:148; total step:220; total_reword:64.889 loss:0.01779; actual_eps:0.93; ave_Q:23.58711814880371
episode:149; total step:220; total_reword:102.651 loss:0.01770; actual_eps:0.93; ave_Q:31.931880950927734
episode:150; total step:220; total_reword:24.802 loss:0.01813; actual_eps:0.93; ave_Q:21.721050262451172
episode:151; total step:220; total_reword:-9.795 loss:0.01789; actual_eps:0.92; ave_Q:10.228055000305176
episode:152; total step:220; total_reword:35.911 loss:0.01835; actual_eps:0.92; ave_Q:16.195703506469727
episode:153; total step:220; total_reword:61.591 loss:0.01797; actual_eps:0.92; ave_Q:23.19565200805664
episode:154; total step:220; total_reword:53.272 loss:0.01845; actual_eps:0.92; ave_Q:23.303953170776367
episode:155; total step:220; total_reword:48.222 loss:0.01770; actual_eps:0.92; ave_Q:19.740909576416016
episode:156; total step:220; total_reword:48.655 loss:0.01741; actual_eps:0.92; ave_Q:25.072961807250977
episode:157; total step:220; total_reword:28.428 loss:0.01675; actual_eps:0.92; ave_Q:19.08284568786621
episode:158; total step:220; total_reword:88.275 loss:0.01724; actual_eps:0.92; ave_Q:25.8010196685791
episode:159; total step:220; total_reword:66.428 loss:0.01701; actual_eps:0.92; ave_Q:28.294208526611328
